Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
D,Bartley,4.5,4.5,West Brom,38,1.025,37,1.02,41,0.854,39,1.092,42,1.574,44,1.29,43,1.475,44,1.104
M,Sawyers,5.0,5.0,West Brom,84,2.302,82,2.254,80,2.11,78,2.198,77,2.356,76,2.168,76,2.298,76,2.093
D,Hegazi,4.5,4.5,West Brom,55,1.593,59,1.737,58,1.309,60,1.796,54,2.162,57,1.788,57,2.086,54,1.462
F,Austin,5.5,5.5,West Brom,26,1.463,29,1.542,23,1.155,27,1.508,31,1.937,28,1.551,29,1.833,31,1.627
F,Zohore,5.0,5.0,West Brom,3,0.143,4,0.182,4,0.176,5,0.236,6,0.308,7,0.326,7,0.361,8,0.361
G,Johnstone,4.5,4.5,West Brom,89,3.315,89,3.444,87,3.146,87,3.359,86,3.685,87,3.411,87,3.586,86,3.229
D,Townsend,4.5,4.5,West Brom,24,0.635,26,0.706,28,0.577,28,0.769,28,1.019,32,0.922,29,0.967,29,0.717
D,Ajayi,5.0,5.0,West Brom,84,2.426,81,2.385,79,1.773,79,2.371,79,3.191,76,2.39,75,2.764,75,2.025
M,Leko,4.5,4.5,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Edwards,5.0,5.0,West Brom,44,1.524,47,1.596,46,1.498,42,1.468,45,1.709,45,1.572,43,1.621,44,1.494
D,Furlong,4.5,4.5,West Brom,18,0.511,20,0.578,25,0.554,20,0.587,27,1.052,25,0.767,27,0.966,30,0.792
M,Field,5.0,5.0,West Brom,9,0.313,9,0.31,12,0.4,13,0.453,15,0.554,17,0.591,15,0.549,16,0.543
M,Burke,4.5,4.5,West Brom,8,0.296,9,0.326,13,0.454,14,0.516,14,0.555,16,0.589,17,0.668,18,0.645
D,O'Shea,4.5,4.5,West Brom,73,2.192,71,2.155,67,1.557,72,2.239,68,2.871,69,2.244,67,2.602,64,1.791
M,Harper,4.5,4.5,West Brom,42,1.363,42,1.354,41,1.274,45,1.463,44,1.541,44,1.44,44,1.522,45,1.426
M,Noble,5.0,5.0,West Ham,56,2.282,55,1.847,55,1.97,54,1.883,55,1.825,50,1.585,53,1.604,53,2.301
M,Snodgrass,6.0,6.0,West Ham,28,1.409,28,1.135,31,1.325,32,1.327,30,1.192,33,1.218,31,1.105,33,1.797
G,Martin,4.0,4.0,West Ham,0,0,0,0,1,0.039,0,0,0,0,2,0.069,1,0.034,1,0.043
G,Randolph,4.5,4.5,West Ham,0,0,0,0,1,0.041,1,0.038,1,0.037,2,0.071,2,0.071,2,0.089
G,Fabianski,5.0,5.0,West Ham,89,3.849,88,3.314,87,3.552,87,3.366,87,3.272,86,3.086,86,3.072,86,3.871
D,Ogbonna,5.0,5.0,West Ham,88,3.4,86,1.999,83,2.601,82,2.168,82,1.893,81,1.073,79,1.06,79,3.334
G,Roberto,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Wilshere,5.0,5.0,West Ham,1,0.037,2,0.066,1,0.034,2,0.067,2,0.065,2,0.063,4,0.123,5,0.195
D,Cresswell,5.0,5.0,West Ham,86,3.499,85,2.102,83,2.724,81,2.265,83,2.033,79,1.16,79,1.159,76,3.377
M,Yarmolenko,6.0,6.0,West Ham,13,0.668,16,0.645,14,0.62,15,0.648,16,0.666,19,0.738,18,0.675,20,1.109
F,Antonio,6.5,6.5,West Ham,72,4.195,70,3.273,71,3.499,69,3.326,69,3.172,69,2.924,67,2.713,67,4.34
D,Fredericks,4.5,4.5,West Ham,84,3.077,80,1.763,82,2.449,81,2.032,80,1.747,76,0.942,75,0.936,76,3.065
M,Lanzini,6.5,6.5,West Ham,5,0.256,7,0.296,7,0.318,6,0.268,8,0.33,9,0.358,8,0.306,9,0.497
M,Felipe Anderson,6.5,6.5,West Ham,45,2.267,40,1.645,44,1.904,43,1.814,44,1.774,42,1.584,44,1.591,46,2.515
F,Haller,6.5,6.5,West Ham,23,1.275,26,1.189,24,1.151,26,1.214,27,1.217,27,1.149,29,1.177,28,1.673
D,Masuaku,4.5,4.5,West Ham,2,0.078,6,0.15,8,0.258,8,0.22,10,0.245,10,0.153,13,0.198,16,0.678
D,Balbuena,4.5,4.5,West Ham,2,0.082,4,0.104,7,0.233,11,0.315,11,0.279,10,0.16,14,0.221,15,0.666
F,Hugill,5.5,5.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Bowen,6.5,6.5,West Ham,63,3.247,62,2.566,63,2.775,63,2.694,62,2.528,60,2.271,59,2.155,58,3.256
M,Diangana,5.5,5.5,West Ham,4,0.199,5,0.21,6,0.263,7,0.301,5,0.203,6,0.236,5,0.191,7,0.374
F,Ajeti,5.5,5.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Rice,5.0,5.0,West Ham,87,2.573,85,2.214,83,2.311,82,2.209,81,2.127,80,1.994,78,1.929,77,2.449
M,Soucek,5.0,5.0,West Ham,85,3.58,81,2.758,80,2.909,78,2.76,77,2.61,78,2.449,77,2.335,76,3.491
M,Fornals,6.5,6.5,West Ham,49,2.312,53,2.039,50,2.05,51,2.028,51,1.945,51,1.812,49,1.686,49,2.511
D,Diop,4.5,4.5,West Ham,88,3.5,86,2.039,84,2.688,83,2.243,81,1.906,82,1.113,79,1.08,78,3.428
D,Johnson,4.0,4.0,West Ham,7,0.254,12,0.282,12,0.368,15,0.394,14,0.326,22,0.306,22,0.315,21,0.819
G,Ruddy,4.5,4.5,Wolves,0,0,0,0,0,0,1,0.049,0,0,1,0.048,1,0.049,1,0.042
M,Moutinho,5.5,5.5,Wolves,80,2.873,79,2.424,77,2.886,79,3.358,76,2.788,73,2.964,75,3.018,73,2.535
G,Patrício,5.5,5.5,Wolves,89,4.007,89,3.268,88,3.902,88,4.297,87,3.854,87,4.214,87,4.278,86,3.615
D,Bennett,4.5,4.5,Wolves,13,0.516,17,0.369,19,0.748,22,1.06,22,0.856,23,1.082,27,1.295,22,0.756
D,Doherty,6.0,6.0,Spurs,29,1.707,31,1.736,30,2.023,32,1.227,30,1.928,31,1.918,35,2.219,31,1.888
D,Boly,5.5,5.5,Wolves,80,3.477,78,1.763,77,3.234,76,3.919,80,3.324,75,3.771,76,3.884,76,2.765
D,Coady,5.0,5.0,Wolves,78,3.078,79,1.599,78,2.953,75,3.494,78,2.92,75,3.437,72,3.369,72,2.403
F,Jiménez,8.5,8.5,Wolves,81,4.384,77,3.517,75,4.451,74,5.153,74,4.265,74,4.659,71,4.397,69,3.645
D,Saïss,5.0,5.0,Wolves,70,2.928,74,1.599,71,2.962,71,3.718,71,2.907,70,3.522,70,3.575,73,2.59
D,Jonny,5.5,5.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Bonatini,5.0,5.0,Wolves,7,0.382,8,0.376,9,0.52,10,0.651,10,0.563,10,0.6,12,0.705,12,0.623
M,Dendoncker,5.0,5.0,Wolves,65,2.176,63,1.838,65,2.216,67,2.559,63,2.136,67,2.458,66,2.415,66,2.111
M,Traoré,6.5,6.5,Wolves,82,3.357,81,2.776,79,3.403,77,3.826,76,3.208,75,3.508,73,3.365,74,2.898
M,Neves,5.5,5.5,Wolves,82,2.585,78,2.137,77,2.564,75,2.832,75,2.482,75,2.734,75,2.721,73,2.279
D,Buur,4.0,4.0,Wolves,12,0.502,16,0.366,16,0.655,16,0.8,18,0.729,19,0.925,18,0.89,19,0.68
M,Jota,6.5,6.5,Wolves,61,3.144,62,2.599,59,3.303,61,3.999,58,3.157,58,3.495,58,3.436,58,2.87
M,Podence,5.5,5.5,Wolves,38,1.801,36,1.442,41,2.043,37,2.098,41,1.999,43,2.266,40,2.093,42,1.874
D,Kilman,4.0,4.0,Wolves,15,0.603,14,0.301,16,0.619,17,0.802,18,0.687,17,0.785,22,1.038,21,0.716
D,Vinagre,4.5,4.5,Wolves,66,3.221,62,1.609,63,3.042,63,3.772,61,2.907,63,3.621,61,3.539,62,2.59
G,Sarkic,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,1,0.045,1,0.049,1,0.049,1,0.042
M,Gibbs-White,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Neto,5.5,5.5,Wolves,53,2.627,55,2.26,54,2.901,56,3.529,52,2.732,53,3.058,55,3.132,53,2.529
M,Jordao,4.5,4.5,Wolves,2,0.081,4,0.144,4,0.168,4,0.187,5,0.207,8,0.355,7,0.308,8,0.313
F,Campana,5.0,5.0,Wolves,6,0.325,8,0.374,10,0.572,11,0.709,11,0.613,10,0.595,12,0.699,13,0.669
M,Freeman,5.0,5.0,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willian,8.0,8.0,Arsenal,33,1.936,33,1.965,38,1.552,34,1.892,36,1.46,38,2.014,38,1.65,35,2.198
D,Salisu,4.5,4.5,Southampton,14,0.539,14,0.435,17,0.673,14,0.586,19,0.432,17,0.647,17,0.645,18,0.786
M,Sean Longstaff,5.0,5.0,Newcastle,9,0.341,12,0.468,8,0.28,8,0.322,10,0.349,10,0.351,11,0.418,10,0.373
M,Pereira,6.0,6.0,West Brom,77,3.133,73,2.901,73,2.722,71,2.932,69,3.286,68,2.829,69,3.253,69,2.732
G,Hart,4.5,4.5,Spurs,0,0,0,0,1,0.048,0,0,1,0.045,1,0.046,1,0.046,1,0.045
G,Ramsdale,5.0,5.0,Sheffield Utd,89,3.618,88,3.798,88,3.871,87,3.336,87,4.068,87,3.078,87,3.084,86,3.152
